USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,station_id,latitude,longitude,elevation_m,coordinate_valid,station_name,legacy_24_station,geographic_block,station_role,inventory_reports_2020,file_listed_2020,inventory_reports_2021,file_listed_2021,inventory_reports_2022,file_listed_2022,inventory_reports_2023,file_listed_2023
420801,99999,BHAVNAGAR,IN,,VABV,+21.752,+072.185,+0013.4,20110129,20250824,42080199999,21.752,72.185,13.4,True,BHAVNAGAR,False,10:36,development,2150,True,3619,True,3375,True,3445,True
420810,99999,BHUNTAR,IN,,,+31.833,+077.167,+1084.0,20020903,20250824,42081099999,31.833,77.167,1084.0,True,BHUNTAR,False,15:38,development,1391,True,1411,True,1432,True,1390,True
420830,99999,SHIMLA,IN,,,+31.100,+077.167,+2202.0,19440101,20250824,42083099999,31.1,77.167,2202.0,True,SHIMLA,False,15:38,development,1432,True,1426,True,1442,True,1357,True
420960,99999,FEROZEPUR,IN,,,+30.917,+074.667,+0200.0,19730101,19900317,42096099999,30.917,74.667,200.0,True,FEROZEPUR,False,15:37,development,0,False,0,False,0,False,0,False
420970,99999,BHATINDA,IN,,,+30.167,+074.583,+0211.0,20200213,20200213,42097099999,30.167,74.583,211.0,True,BHATINDA,False,15:37,development,1,True,0,False,0,False,0,False
420980,99999,HALWARA,IN,,,+30.750,+075.633,+0241.0,19440101,19481231,42098099999,30.75,75.633,241.0,True,HALWARA,False,15:37,development,0,False,0,False,0,False,0,False
420990,99999,LUDHIANA,IN,,,+30.867,+075.933,+0255.0,19730101,20250824,42099099999,30.867,75.933,255.0,True,LUDHIANA,False,15:37,development,1443,True,1422,True,1451,True,1413,True
421010,99999,PATIALA,IN,,,+30.333,+076.467,+0251.0,19730101,20250824,42101099999,30.333,76.467,251.0,True,PATIALA,False,15:38,development,2912,True,2834,True,2865,True,2827,True
421030,99999,AMBALA,IN,,,+30.383,+076.767,+0272.0,19440101,20250824,42103099999,30.383,76.767,272.0,True,AMBALA,False,15:38,development,2865,True,2846,True,2879,True,2859,True
421040,99999,NAHAN,IN,,,+30.400,+076.767,+0958.0,19881016,20250824,42104099999,30.4,76.767,958.0,True,NAHAN,False,15:38,development,524,True,659,True,602,True,588,True
421050,99999,CHANDIGARH(IAFB),IN,,,+30.733,+076.883,+0347.0,19740101,20250824,42105099999,30.733,76.883,347.0,True,CHANDIGARH(IAFB),False,15:38,development,2878,True,2853,True,2873,True,2813,True
421070,99999,DHARMPUR,IN,,,+30.900,+077.017,+1986.0,19990701,20021214,42107099999,30.9,77.017,1986.0,True,DHARMPUR,False,15:38,development,0,False,0,False,0,False,0,False
421080,99999,UTTARKASHI,IN,,,+30.733,+078.450,+1200.0,19990420,20230805,42108099999,30.733,78.45,1200.0,True,UTTARKASHI,False,15:39,spatial_holdout,0,False,0,False,0,False,2,True
421100,99999,PAURI,IN,,,+30.150,+078.783,+1845.0,20190315,20190315,42110099999,30.15,78.783,1845.0,True,PAURI,False,15:39,spatial_holdout,0,False,0,False,0,False,0,False
421110,99999,DEHRADUN,IN,,,+30.317,+078.033,+0682.0,19440101,20250824,42111099999,30.317,78.033,682.0,True,DEHRADUN,False,15:39,spatial_holdout,2890,True,2852,True,2840,True,2792,True
421120,99999,MUSSOORIE,IN,,,+30.450,+078.083,+2042.0,19540101,20201209,42112099999,30.45,78.083,2042.0,True,MUSSOORIE,False,15:39,spatial_holdout,1,True,0,False,0,False,0,False
421140,99999,TEHRI,IN,,,+30.400,+078.483,+0770.0,19981224,20250824,42114099999,30.4,78.483,770.0,True,TEHRI,False,15:39,spatial_holdout,1435,True,1421,True,1438,True,1423,True
421160,99999,JOSHIMATH,IN,,,+30.550,+079.567,+1875.0,19730101,20021002,42116099999,30.55,79.567,1875.0,True,JOSHIMATH,False,15:39,spatial_holdout,0,False,0,False,0,False,0,False
421170,99999,CHAMOLI,IN,,,+30.400,+079.333,+1160.0,19990211,20200307,42117099999,30.4,79.333,1160.0,True,CHAMOLI,False,15:39,spatial_holdout,1,True,0,False,0,False,0,False
421210,99999,MUNSYARI,IN,,,+30.117,+080.250,+3414.0,20011024,20210420,42121099999,30.117,80.25,3414.0,True,MUNSYARI,False,15:40,spatial_holdout,0,False,4,True,0,False,0,False
421220,99999,ANUPGARH,IN,,,+29.167,+073.167,+0154.0,19440101,20220805,42122099999,29.167,73.167,154.0,True,ANUPGARH,False,14:36,development,0,False,0,False,1,True,0,False
421230,99999,GANGANAGAR,IN,,,+29.917,+073.917,+0177.0,19440101,20250824,42123099999,29.917,73.917,177.0,True,GANGANAGAR,False,14:36,development,2893,True,2877,True,2883,True,2870,True
421310,99999,HISAR,IN,,VIHR,+29.179,+075.755,+0213.4,19440101,20250824,42131099999,29.179,75.755,213.4,True,HISAR,True,14:37,development,2829,True,2859,True,2822,True,2791,True
421350,99999,SANGRUR,IN,,,+30.167,+075.833,+0236.0,19831001,20180519,42135099999,30.167,75.833,236.0,True,SANGRUR,False,15:37,development,0,False,0,False,0,False,0,False
421370,99999,KARNAL,IN,,,+29.700,+077.033,+0249.0,19730109,20250823,42137099999,29.7,77.033,249.0,True,KARNAL,False,14:38,development,509,True,529,True,298,True,299,True
421390,99999,MEERUT,IN,,,+29.017,+077.717,+0222.0,19440603,20250824,42139099999,29.017,77.717,222.0,True,MEERUT,False,14:38,development,1411,True,1418,True,1447,True,1430,True
421400,99999,ROORKEE,IN,,,+29.850,+077.883,+0274.0,19440101,20180810,42140099999,29.85,77.883,274.0,True,ROORKEE,False,14:38,development,0,False,0,False,0,False,0,False
421430,99999,NAJIBABAD,IN,,,+29.617,+078.383,+0270.0,19730101,20250824,42143099999,29.617,78.383,270.0,True,NAJIBABAD,False,14:39,development,694,True,687,True,676,True,665,True
421460,99999,NAINITAL,IN,,,+29.400,+079.467,+1953.0,19730103,19790214,42146099999,29.4,79.467,1953.0,True,NAINITAL,False,14:39,development,0,False,0,False,0,False,0,False
421470,99999,MUKTESHWAR KUMAON,IN,,,+29.467,+079.650,+2311.0,19440101,20250824,42147099999,29.467,79.65,2311.0,True,MUKTESHWAR KUMAON,False,14:39,development,1448,True,1425,True,1440,True,1426,True
421480,99999,PANTNAGAR,IN,,,+29.033,+079.467,+0233.0,20070520,20250824,42148099999,29.033,79.467,233.0,True,PANTNAGAR,False,14:39,development,1452,True,1424,True,1438,True,1427,True
421510,99999,DHARCHULA,IN,,,+29.850,+080.533,+0817.0,19831002,20230321,42151099999,29.85,80.533,817.0,True,DHARCHULA,False,14:40,spatial_holdout,2,True,0,False,0,False,1,True
421650,99999,BIKANER,IN,,,+28.000,+073.300,+0224.0,19440101,20250824,42165099999,28.0,73.3,224.0,True,BIKANER,False,14:36,development,400,True,553,True,2880,True,2879,True
421700,99999,CHURU,IN,,,+28.250,+074.917,+0291.0,19730101,20250824,42170099999,28.25,74.917,291.0,True,CHURU,False,14:37,development,2872,True,2878,True,2886,True,2857,True
421740,99999,PILANI,IN,,,+28.333,+075.583,+0301.0,20020630,20250824,42174099999,28.333,75.583,301.0,True,PILANI,False,14:37,development,623,True,585,True,670,True,524,True
421760,99999,ROHTAK,IN,,,+28.833,+076.583,+0222.0,20010728,20250824,42176099999,28.833,76.583,222.0,True,ROHTAK,False,14:38,development,704,True,695,True,705,True,662,True
421770,99999,NARNAUL,IN,,,+28.000,+076.083,+0308.0,20020219,20241203,42177099999,28.0,76.083,308.0,True,NARNAUL,False,14:38,development,689,True,707,True,715,True,685,True
421780,99999,GURGAON,IN,,,+28.417,+077.000,+0224.0,20010718,20200513,42178099999,28.417,77.0,224.0,True,GURGAON,False,14:38,development,1,True,0,False,0,False,0,False
421810,99999,INDIRA GANDHI INTL,IN,,VIDP,+28.567,+077.103,+0236.8,19750307,20250824,42181099999,28.567,77.103,236.8,True,INDIRA GANDHI INTL,True,14:38,development,19898,True,19818,True,20006,True,19919,True
421820,99999,SAFDARJUNG,IN,,VIDD,+28.585,+077.206,+0214.9,19420702,20250824,42182099999,28.585,77.206,214.9,True,SAFDARJUNG,True,14:38,development,5544,True,4259,True,4255,True,2912,True
421830,99999,BULANDSHAHR,IN,,,+28.400,+077.867,+0218.0,20010823,20250708,42183099999,28.4,77.867,218.0,True,BULANDSHAHR,False,14:38,development,1,True,16,True,0,False,0,False
421870,99999,MORADABAD,IN,,,+28.833,+078.750,+0202.0,19830915,20250823,42187099999,28.833,78.75,202.0,True,MORADABAD,False,14:39,development,62,True,28,True,215,True,396,True
421880,99999,RAMPUR,IN,,,+28.750,+079.000,+0191.0,19990709,20211124,42188099999,28.75,79.0,191.0,True,RAMPUR,False,14:39,development,0,False,1,True,0,False,0,False
421890,99999,BAREILLY,IN,,VIBY,+28.422,+079.451,+0176.8,19440101,20250824,42189099999,28.422,79.451,176.8,True,BAREILLY,True,14:39,development,2857,True,2874,True,3035,True,3377,True
421900,99999,PILIBHIT,IN,,,+28.633,+079.800,+0188.0,20020725,20020725,42190099999,28.633,79.8,188.0,True,PILIBHIT,False,14:39,development,0,False,0,False,0,False,0,False
422060,99999,HALDIA,IN,,,+22.067,+088.067,+0011.0,20170614,20170614,42206099999,22.067,88.067,11.0,True,HALDIA,False,11:44,spatial_holdout,0,False,0,False,0,False,0,False
422200,99999,PASIGHAT,IN,,,+28.100,+095.383,+0157.0,19740403,20250824,42220099999,28.1,95.383,157.0,True,PASIGHAT,False,14:47,spatial_holdout,1817,True,1777,True,1800,True,1750,True
422370,99999,PHALODI,IN,,,+27.133,+072.367,+0234.0,19440101,20250823,42237099999,27.133,72.367,234.0,True,PHALODI,False,13:36,development,660,True,638,True,591,True,468,True
422420,99999,NAGAUR,IN,,,+27.167,+073.667,+0298.0,20010723,20020817,42242099999,27.167,73.667,298.0,True,NAGAUR,False,13:36,development,0,False,0,False,0,False,0,False
422490,99999,SIKAR,IN,,,+27.617,+075.133,+0433.0,19730101,20250824,42249099999,27.617,75.133,433.0,True,SIKAR,False,13:37,spatial_holdout,671,True,697,True,676,True,535,True
422550,99999,ALWAR,IN,,,+27.500,+076.583,+0271.0,19730101,20250824,42255099999,27.5,76.583,271.0,True,ALWAR,False,13:38,spatial_holdout,264,True,434,True,646,True,485,True
422570,99999,MATHURA,IN,,,+27.500,+077.683,+0174.0,20020418,20241016,42257099999,27.5,77.683,174.0,True,MATHURA,False,13:38,spatial_holdout,0,False,0,False,0,False,1,True
422580,99999,BHARATPUR,IN,,,+27.217,+077.500,+0176.0,20020214,20240814,42258099999,27.217,77.5,176.0,True,BHARATPUR,False,13:38,spatial_holdout,0,False,0,False,0,False,1,True
422600,99999,AGRA,IN,,VIAG,+27.156,+077.961,+0167.9,19420824,20250824,42260099999,27.156,77.961,167.9,True,AGRA,False,13:38,spatial_holdout,1940,True,482,True,156,True,565,True
422610,99999,AGRA,IN,,,+27.167,+078.033,+0169.0,19440101,20240412,42261099999,27.167,78.033,169.0,True,AGRA,False,13:39,development,0,False,0,False,0,False,1,True
422620,99999,ALIGARH,IN,,,+27.883,+078.067,+0187.0,19730101,20250824,42262099999,27.883,78.067,187.0,True,ALIGARH,False,13:39,development,689,True,698,True,663,True,651,True
422650,99999,MAINPURI,IN,,,+27.233,+079.050,+0157.0,19440101,20210303,42265099999,27.233,79.05,157.0,True,MAINPURI,False,13:39,development,1,True,1,True,0,False,0,False
422660,99999,SHAHJAHANPUR,IN,,,+27.883,+079.900,+0155.0,20090205,20250824,42266099999,27.883,79.9,155.0,True,SHAHJAHANPUR,False,13:39,development,695,True,683,True,666,True,644,True
422700,99999,KHERI,IN,,,+27.900,+080.800,+0147.0,19730101,20250824,42270099999,27.9,80.8,147.0,True,KHERI,False,13:40,development,0,False,0,False,0,False,0,False
422710,99999,HARDOI,IN,,,+27.383,+080.167,+0142.0,19730101,20250824,42271099999,27.383,80.167,142.0,True,HARDOI,False,13:40,development,696,True,701,True,688,True,668,True
422730,99999,BAHRAICH,IN,,,+27.567,+081.600,+0124.0,19440101,20250824,42273099999,27.567,81.6,124.0,True,BAHRAICH,False,13:40,development,2824,True,2826,True,2794,True,2693,True
422740,99999,GONDA,IN,,,+27.133,+081.967,+0110.0,19730101,20171008,42274099999,27.133,81.967,110.0,True,GONDA,False,13:40,development,0,False,0,False,0,False,0,False
422790,99999,BASTI,IN,,,+26.800,+082.733,+0089.0,20160804,20250824,42279099999,26.8,82.733,89.0,True,BASTI,False,13:41,development,0,False,0,False,0,False,3,True
422820,99999,NAUTANWA,IN,,,+27.433,+083.417,+0099.0,19730101,20240324,42282099999,27.433,83.417,99.0,True,NAUTANWA,False,13:41,development,0,False,0,False,0,False,0,False
422950,99999,DARJEELING,IN,,,+27.050,+088.267,+2128.0,19440101,20250131,42295099999,27.05,88.267,2128.0,True,DARJEELING,False,13:44,development,1452,True,1429,True,270,True,3,True
422960,99999,KALIMPONG,IN,,,+27.067,+088.467,+1209.0,20151207,20250824,42296099999,27.067,88.467,1209.0,True,KALIMPONG,False,13:44,development,693,True,702,True,714,True,700,True
422990,99999,GANGTOK,IN,,,+27.333,+088.617,+1756.0,19740902,20250824,42299099999,27.333,88.617,1756.0,True,GANGTOK,False,13:44,development,1456,True,1431,True,1451,True,1446,True
423050,99999,BOMDILA,IN,,,+27.417,+092.850,+2484.0,20020727,20250210,42305099999,27.417,92.85,2484.0,True,BOMDILA,False,13:46,development,2,True,0,False,0,False,0,False
423090,99999,LILABARI,IN,,VELR,+27.295,+094.098,+0100.6,19431223,20250824,42309099999,27.295,94.098,100.6,True,LILABARI,False,13:47,spatial_holdout,7090,True,7434,True,8374,True,8738,True
423110,99999,SIBSAGAR,IN,,,+26.983,+094.633,+0097.0,19440101,20160117,42311099999,26.983,94.633,97.0,True,SIBSAGAR,False,13:47,spatial_holdout,0,False,0,False,0,False,0,False
423120,99999,ZIRO,IN,,,+27.917,+094.800,+1476.0,20010802,20171105,42312099999,27.917,94.8,1476.0,True,ZIRO,False,13:47,spatial_holdout,0,False,0,False,0,False,0,False
423140,99999,DIBRUGARH,IN,,VEMN,+27.484,+095.017,+0110.3,19420714,20250824,42314099999,27.484,95.017,110.3,True,DIBRUGARH,False,13:47,spatial_holdout,11272,True,10839,True,10991,True,10087,True
423160,99999,DIGBOI,IN,,,+27.383,+095.617,+0143.0,19440901,20160805,42316099999,27.383,95.617,143.0,True,DIGBOI,False,13:47,spatial_holdout,0,False,0,False,0,False,0,False
423280,99999,JAISALMER,IN,,,+26.900,+070.917,+0231.0,19730101,20250824,42328099999,26.9,70.917,231.0,True,JAISALMER,False,13:35,spatial_holdout,2890,True,2878,True,2884,True,2863,True
423390,99999,JODHPUR,IN,,VIJO,+26.251,+073.049,+0218.5,19430731,20250824,42339099999,26.251,73.049,218.5,True,JODHPUR,False,13:36,development,2900,True,2912,True,3044,True,3611,True
423430,99999,AJMER,IN,,,+26.450,+074.617,+0486.0,19440101,20250824,42343099999,26.45,74.617,486.0,True,AJMER,False,13:37,spatial_holdout,2876,True,2873,True,2881,True,2856,True
423480,99999,JAIPUR,IN,,VIJP,+26.824,+075.812,+0385.0,19440101,20250824,42348099999,26.824,75.812,385.0,True,JAIPUR,True,13:37,spatial_holdout,18303,True,19279,True,20232,True,20167,True
423490,99999,TONK,IN,,,+26.167,+075.750,+0272.0,19990514,20210712,42349099999,26.167,75.75,272.0,True,TONK,False,13:37,spatial_holdout,0,False,1,True,0,False,0,False
423530,99999,SUPAUL,IN,,,+26.133,+086.583,+0049.0,20200815,20220326,42353099999,26.133,86.583,49.0,True,SUPAUL,False,13:43,development,1,True,0,False,1,True,0,False
423540,99999,DHOLPUR,IN,,,+26.667,+077.833,+0176.0,19730101,20250817,42354099999,26.667,77.833,176.0,True,DHOLPUR,False,13:38,spatial_holdout,0,False,0,False,0,False,0,False
423580,99999,BHIND,IN,,,+26.567,+078.800,+0168.0,20020328,20021208,42358099999,26.567,78.8,168.0,True,BHIND,False,13:39,development,0,False,0,False,0,False,0,False
423610,99999,GWALIOR,IN,,VIGR,+26.293,+078.228,+0188.1,19440101,20250824,42361099999,26.293,78.228,188.1,True,GWALIOR,True,13:39,development,4685,True,3284,True,2996,True,3412,True
423640,99999,ETAWAH,IN,,VIXX,+26.921,+079.062,+0149.0,20010711,20250813,42364099999,26.921,79.062,149.0,True,ETAWAH,False,13:39,development,1,True,0,False,0,False,0,False
423660,99999,KANPUR,IN,,,+26.433,+080.367,+0125.0,19450621,20180217,42366099999,26.433,80.367,125.0,True,KANPUR,False,13:40,development,0,False,0,False,0,False,0,False
423670,99999,KANPUR CHAKERI,IN,,VICX,+26.404,+080.410,+0123.4,19440101,20250824,42367099999,26.404,80.41,123.4,True,KANPUR CHAKERI,False,13:40,development,693,True,698,True,443,True,674,True
423680,99999,LUCKNOW,IN,,,+26.867,+080.933,+0111.0,19730101,20211125,42368099999,26.867,80.933,111.0,True,LUCKNOW,False,13:40,development,0,False,1,True,0,False,0,False
423690,99999,LUCKNOW / CHAUDHARY CHARAN SINGH INTL,IN,,VILK,+26.761,+080.889,+0125.0,19440101,20250824,42369099999,26.761,80.889,125.0,True,LUCKNOW / CHAUDHARY CHARAN SINGH INTL,False,13:40,development,16925,True,19522,True,19562,True,19552,True
423720,99999,FURSATGANJ AIRPORT,IN,,VERB,+26.250,+081.383,+0109.7,20130529,20250824,42372099999,26.25,81.383,109.7,True,FURSATGANJ AIRPORT,False,13:40,development,1584,True,2148,True,1550,True,1461,True
423740,99999,AYODHA,IN,,VEAY,+26.748,+082.163,+0100.0,20020203,20250824,42374099999,26.748,82.163,100.0,True,AYODHA,False,13:41,development,0,False,0,False,0,False,1,True
423750,99999,SULTANPUR,IN,,,+26.250,+082.000,+0097.0,19990614,20190527,42375099999,26.25,82.0,97.0,True,SULTANPUR,False,13:41,development,0,False,0,False,0,False,0,False
423790,99999,GORAKHPUR,IN,,VEGK,+26.740,+083.450,+0078.9,19440101,20250824,42379099999,26.74,83.45,78.9,True,GORAKHPUR,False,13:41,development,4702,True,3282,True,3029,True,3414,True
423810,99999,AZAMGARH,IN,,,+26.050,+083.217,+0078.0,19730101,19800626,42381099999,26.05,83.217,78.0,True,AZAMGARH,False,13:41,development,0,False,0,False,0,False,0,False
423820,99999,RAXAUL,IN,,,+26.983,+084.850,+0079.0,19730101,20240621,42382099999,26.983,84.85,79.0,True,RAXAUL,False,13:42,spatial_holdout,1,True,33,True,0,False,1,True
423830,99999,MOTIHARI,IN,,,+26.667,+084.917,+0066.0,19440101,20250824,42383099999,26.667,84.917,66.0,True,MOTIHARI,False,13:42,spatial_holdout,2,True,520,True,601,True,552,True
423870,99999,MUZAFFARPUR,IN,,,+26.117,+085.400,+0053.0,19740515,20250824,42387099999,26.117,85.4,53.0,True,MUZAFFARPUR,False,13:42,spatial_holdout,201,True,657,True,676,True,690,True
423900,99999,MUZAFFARPUR AERODROME,IN,,,+26.117,+085.317,+0053.0,20011029,20170327,42390099999,26.117,85.317,53.0,True,MUZAFFARPUR AERODROME,False,13:42,spatial_holdout,0,False,0,False,0,False,0,False
423910,99999,DARBHANGA,IN,,,+26.167,+085.900,+0049.0,19440101,20250824,42391099999,26.167,85.9,49.0,True,DARBHANGA,False,13:42,spatial_holdout,474,True,355,True,442,True,653,True
423930,99999,SUPAUL,IN,,,+26.133,+086.583,+0050.0,20010905,20250824,42393099999,26.133,86.583,50.0,True,SUPAUL,False,13:43,development,619,True,627,True,662,True,669,True
423950,99999,FORBESGANJ,IN,,,+26.300,+087.267,+0061.0,19730101,20250824,42395099999,26.3,87.267,61.0,True,FORBESGANJ,False,13:43,development,653,True,634,True,604,True,559,True
423970,99999,SILIGURI,IN,,,+26.667,+088.367,+0123.0,19990213,20230501,42397099999,26.667,88.367,123.0,True,SILIGURI,False,13:44,development,0,False,0,False,0,False,1,True
423980,99999,BAGDOGRA,IN,,VEBD,+26.681,+088.329,+0125.6,19570618,20250824,42398099999,26.681,88.329,125.6,True,BAGDOGRA,False,13:44,development,2304,True,1141,True,879,True,1210,True
423990,99999,JALPAIGURI,IN,,,+26.533,+088.717,+0083.0,19440101,20250824,42399099999,26.533,88.717,83.0,True,JALPAIGURI,False,13:44,development,1453,True,1437,True,1456,True,1442,True
424030,99999,COOCH BEHAR,IN,,,+26.333,+089.467,+0043.0,19430220,20250824,42403099999,26.333,89.467,43.0,True,COOCH BEHAR,False,13:44,development,1454,True,1433,True,1455,True,1446,True
424040,99999,DHUBRI,IN,,,+26.017,+089.983,+0036.0,19440101,20250824,42404099999,26.017,89.983,36.0,True,DHUBRI,False,13:44,development,1326,True,971,True,1450,True,1440,True
424060,99999,DHUBRI/RUPSI,IN,,,+26.150,+089.917,+0045.0,19450630,19450930,42406099999,26.15,89.917,45.0,True,DHUBRI/RUPSI,False,13:44,development,0,False,0,False,0,False,0,False
424070,99999,GOALPARA,IN,,,+26.183,+090.633,+0038.0,19730102,20250824,42407099999,26.183,90.633,38.0,True,GOALPARA,False,13:45,spatial_holdout,545,True,493,True,668,True,683,True
424080,99999,RANGIA,IN,,,+26.433,+091.617,+0060.0,20151207,20250824,42408099999,26.433,91.617,60.0,True,RANGIA,False,13:45,spatial_holdout,332,True,11,True,74,True,485,True
424090,99999,TANGLA,IN,,,+26.650,+091.917,+0065.0,19740221,20230219,42409099999,26.65,91.917,65.0,True,TANGLA,False,13:45,spatial_holdout,441,True,314,True,279,True,43,True
424100,99999,GUWAHATI INTL / LOKPRIYA GOPINATH BORDOLOI INTL,IN,,VEGT,+26.106,+091.586,+0049.4,19440102,20250824,42410099999,26.106,91.586,49.4,True,GUWAHATI INTL / LOKPRIYA GOPINATH BORDOLOI INTL,False,13:45,spatial_holdout,17218,True,18281,True,18980,True,18406,True
424130,99999,MAJBAT,IN,,,+26.750,+092.350,+0120.0,20011009,20250824,42413099999,26.75,92.35,120.0,True,MAJBAT,False,13:46,development,601,True,589,True,642,True,677,True
424140,99999,CHAPARMUKH,IN,,,+26.200,+092.517,+0066.0,19730103,20250824,42414099999,26.2,92.517,66.0,True,CHAPARMUKH,False,13:46,development,547,True,450,True,572,True,621,True
424150,99999,TEZPUR,IN,,,+26.617,+092.783,+0079.0,19440101,20250824,42415099999,26.617,92.783,79.0,True,TEZPUR,False,13:46,development,2687,True,2848,True,2865,True,2837,True
424160,99999,TEZPUR/BINDUKURI,IN,,,+26.717,+092.800,+0075.0,19430510,20210702,42416099999,26.717,92.8,75.0,True,TEZPUR/BINDUKURI,False,13:46,development,0,False,2,True,0,False,0,False
424190,99999,GOHPUR,IN,,,+26.833,+093.583,+0082.0,19831028,20071017,42419099999,26.833,93.583,82.0,True,GOHPUR,False,13:46,development,0,False,0,False,0,False,0,False
424200,99999,GOLAGHAT,IN,,,+26.517,+093.983,+0095.0,19740806,20250824,42420099999,26.517,93.983,95.0,True,GOLAGHAT,False,13:46,development,643,True,592,True,604,True,597,True
